No,Bentuk Pemanfaatan,Dimanfaatakan Untuk,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama,Tempat umum
40,Sewa,Ruko,,,HPL,,Kantor,70,111.661.205,-7.548.428,Sewa - Kabupaten,111.661.205,7.548.428,112,8,18269,,
38,Sewa,Ruko,,,HPL,,BPKAD,100,111.658.034,-7.548.136,Sewa - Kabupaten,111.658.034,7.548.136,112,8,17982,,
60,Sewa,Sawah,,,HPL,,BPKAD,2000,111.654.082,-7.545.293,Sewa - Kabupaten,111.654.082,7.545.293,112,8,17771,,
28,Sewa,Perumahan,KELUN,KARTOHARJO,HGB,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,16590,"33,315","36,214",Sewa Kota,11.155.525,760.356.666.666.667,112,8,5100,,
89,Pakai,Sawah,JOSENAN,TAMAN,PAKAI,Blok Sawah Kurupati,Patihan,4905,"30,529","40,454",,111.508.816.666.667,767.423.333.333.333,112,8,5097,,
27,Sewa,Perumahan,KELUN,KARTOHARJO,HGB,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,57945,"33,257","36,147",Sewa Kota,111.554.283.333.333,760.245,112,8,5083,,
59,Sewa,Sawah,JOSENAN,TAMAN,MILIK,Sawah Blok Serandu,Josenan,5700,"30,473","40,297",,111.507.883.333.333,767.161.666.666.667,112,8,4831,,
90,Pakai,Sawah,JOSENAN,TAMAN,PAKAI,,Namb. Lor,45000,"30,43","40,104",,111.507.166.666.667,7.6684,112,8,4499,,
91,Pakai,Sawah,DEMANGAN,TAMAN,PAKAI,Blok Piang Semi,Demangan,3865,"30,525","40,069",,11.150.875,766.781.666.666.667,112,8,4397,,
95,Pakai,Sawah,BANJAREJO,TAMAN,PAKAI,,Banjarejo,6390,"32,315","39,468",,111.538.583.333.333,7.6578,112,8,3995,,
94,Pakai,Sawah,BANJAREJO,TAMAN,PAKAI,,Banjarejo,10390,"32,306","39,444",,111.538.433.333.333,7.6574,112,8,3949,,
74,Sewa,Sawah,KANIGORO,KARTOHARJO,MILIK,Jl. Sri Sedono,KANIGORO,2786,"33,124","38,056",,111.552.066.666.667,763.426.666.666.667,112,8,3929,,
95,Pakai,Sawah,BANJAREJO,TAMAN,PAKAI,,Banjarejo,6650,"32,281","39,342",,111.538.016.666.667,7.6557,112,8,3772,,
92,Pakai,Kantor,DEMANGAN,TAMAN,PAKAI,Jl.jati siwur,Demangan,710,"31,562","39,672",,111.526.033.333.333,7.6612,112,8,3713,,
16,Pakai,Pasar,MANISREJO,TAMAN,PAKAI,Jl. Tanjung Raya,Dinas Pasar,905,"32,8","38,61",Sewa - Kota,111.546.666.666.667,7.6435,112,8,3661,,
93,Pakai,Kantor,DEMANGAN,TAMAN,PAKAI,Jl. Jati Siwur RT 14,Demangan,600,"31,419","39,67",,11.152.365,766.116.666.666.667,112,8,3647,,
18,Pakai,Pasar,KANIGORO,KARTOHARJO,PAKAI,Jl.Dr.Setiabudi,Dinas pasar,1490,"32,892","38,113",Sewa - Kota,1.115.482,763.521.666.666.667,112,8,3527,,
61,Pakai,Sawah,PATIHAN,MANGUHARJO,PAKAI,Blok Sawah,Patihan,3220,"32,214","36,285",,1.115.369,760.475,112,8,3497,,
